번호,한글,영어,한자(번체),주소
306,현동,Hyeondong,縣 洞,경북 봉화군 소천면 열람이길 55
307,호계,Hogye,虎 溪,울산 북구 호계6길 30
308,홍성,Hongseong,洪 城,충남 홍성군 홍성읍 고암리 415-16
309,화명,Hwamyeong,華 明,부산 북구 학사로 135(화명동)
310,화본,Hwabon,花 本,경북 군위군 산성면 산성가음로 711-9
311,화산,Hwasan,花 山,경북 영천시 화산면 장수로 917-10
312,화순,Hwasun,和 順,전남 화순군 화순읍 벽라리 507
313,화양,Hwayang,華 陽,충남 홍성군 금마면 화양리 181
314,황간,Hwanggan,黃 澗,충북 영동군 황간면 마산리 42
315,횡천,Hoengcheon,橫 川,경남 하동군 횡천면 중마길 277
316,효문,Hyomun,孝 門,울산 북구 산업로 892
317,효자,Hyoja,孝 子,경북 포항시 남구 새천년대로 289
318,효천,Hyocheon,孝 泉,광주 남구 송하동 573-8
319,희방사,Huibangsa,喜方寺,경북 영주시 풍기읍 죽령로1513번길 41-9
